"Name","Count"
"AppleMobileDeviceService","8"
"ApplicationFrameHost","5"
"atmgr","80"
"audiodg","9"
"Calculator","27"
"cayley","8"
"cb","15"
"chrome","675"
"ciscowebexstart","11"
"cmd","1"
"Code","144"
"CodeHelper","6"
"collector","2"
"CompPkgSrv","1"
"conhost","136"
"CptService","2"
"csrss","28"
"ctfmon","12"
"CxAudioSvc","9"
"CxUtilSvc","2"
"CylanceSvc","66"
"CylanceUI","15"
"dasHost","17"
"DbxSvc","28"
"dllhost","5"
"dnscrypt-proxy","2"
"dotnet","73"
"Dropbox","173"
"DropboxUpdate","3"
"dwm","19"
"Engine","59"
"EPWD","3"
"ERCService","32"
"explorer","115"
"Flow","23"
"FMUSBService64","2"
"fontdrvhost","10"
"GoogleUpdate","3"
"Greenshot","4"
"HotKeyServiceUWP","3"
"HPHotkeyNotification","1"
"hpqwmiex","4"
"ibtsiva","1"
"Idle","8"
"iexplore","34"
"igfxCUIService","2"
"igfxEM","12"
"InstallRootService","7"
"inSync","50"
"inSyncAgent","10"
"inSyncCPHwnet64","9"
"inSyncUpgrade","8"
"inSyncUSyncer","23"
"IntelCpHDCPSvc","3"
"IntelCpHeciSvc","3"
"issuser","22"
"jhi_service","2"
"LanWlanWwanSwitchingServiceUWP","6"
"ldbattery","2"
"LDDellOMCI","5"
"LDdrives","2"
"ldHPsensors","8"
"LDmemory","2"
"LDsensors","2"
"licenses","17"
"LMS","12"
"localsch","8"
"LockApp","16"
"LogiPresentation","8"
"LogiPresentationMgr","12"
"LogiPresentationUI","23"
"lsass","15"
"MBAMAgent","15"
"mDNSResponder","2"
"Memory Compression","46"
"Microsoft.Photos","21"
"MicTray64","2"
"MusicBee","32"
"nlparser_r","25"
"node","232"
"notepad++","4"
"NVDisplay.Container","33"
"nvwmi64","6"
"OfficeClickToRun","16"
"OneDrive","28"
"ONENOTEM","2"
"OUTLOOK","87"
"pds","4"
"pg_ctl","4"
"postgres","92"
"powershell","30"
"PresentationFontCache","4"
"Printing","10"
"PrivacyIconClient","6"
"Proxy","42"
"ptOIEx64","33"
"ptoneclk","26"
"ptsrv","2"
"pwsh","16"
"Qlik.Logging.Service","27"
"QtWebEngineProcess","30"
"rcgui","2"
"rckvm","6"
"Registry","4"
"RemoteDesktopManagerFree","89"
"Repository","95"
"residentAgent","7"
"RuntimeBroker","39"
"schedul2","8"
"Scheduler","88"
"SearchFilterHost","4"
"SearchIndexer","20"
"SearchProtocolHost","6"
"SearchUI","61"
"SecurityHealthService","9"
"SecurityHealthSystray","1"
"SelfElectController","5"
"ServiceDispatcher","28"
"services","11"
"SettingSyncHost","3"
"SgrmBroker","5"
"ShellExperienceHost","23"
"sihost","10"
"slack","105"
"slimsvc","4"
"SmartAudio3","25"
"smss","2"
"softmon","10"
"spoolsv","8"
"sqlwriter","2"
"StartMenuExperienceHost","20"
"svchost","618"
"SynaMonApp","3"
"SynTPEnh","9"
"SynTPEnhService","3"
"SynTPHelper","1"
"System","290"
"SystemSettings","31"
"taskhostw","10"
"tbtsvc","3"
"Teams","219"
"Thunderbolt","8"
"tmcsvc","20"
"TracCAPI","2"
"TracSrvWrapper","10"
"TrGUI","9"
"unsecapp","6"
"Video.UI","20"
"vmnat","4"
"vmnetdhcp","2"
"vmware-authd","6"
"vmware-hostd","17"
"vmware-tray","3"
"vmware-usbarbitrator64","3"
"VSSVC","2"
"WebexMTA","12"
"WindowsInternal.ComposableShell.Experiences.TextInput.InputApp","14"
"wininit","1"
"winlogon","7"
"WinStore.App","25"
"wlanext","1"
"WmiPrvSE","34"
"WUDFHost","19"
"YourPhone","24"
